Requestor_ID	Benson	Bradley	Grubb	Ludlow	Arrival	Departure	Choice_Number	Spots_ideal	Spots_min	Hut_granted	Spots_granted	Status	Lottery_value	Confirmed_How	Creation_date	Last_mod_date	hut_count_flexibility	saturday_week_number
1962792	TRUE	TRUE	TRUE	TRUE	2027-02-06	2027-02-07	1	9	9		0	pending	0				4	2027-02-06
1969495	FALSE	FALSE	TRUE	FALSE	2027-01-16	2027-01-18	3	6	6		0	pending	0				1	2027-01-16
1975905	TRUE	FALSE	FALSE	FALSE	2027-03-12	2027-03-13	1	12	12		0	pending	0				1	2027-03-13
1975905	FALSE	TRUE	FALSE	FALSE	2027-03-13	2027-03-14	1	15	15		0	pending	0				1	2027-03-13
2009181	FALSE	FALSE	TRUE	FALSE	2027-01-29	2027-01-31	1	15	15		0	pending	0				1	2027-01-30
3147593	FALSE	FALSE	FALSE	TRUE	2027-03-05	2027-03-07	4	15	15		0	pending	0				1	2027-03-06
3486858	TRUE	FALSE	FALSE	FALSE	2027-01-15	2027-01-18	1	12	8		0	pending	0				1	2027-01-16
7212312	FALSE	FALSE	TRUE	FALSE	2027-01-16	2027-01-18	1	6	6		0	pending	0				1	2027-01-16
27044381	FALSE	TRUE	FALSE	FALSE	2027-01-23	2027-01-25	1	15	15		0	pending	0				1	2027-01-23
28075512	FALSE	TRUE	FALSE	FALSE	2027-01-14	2027-01-17	1	6	4		0	pending	0				1	2027-01-16
28075894	TRUE	FALSE	FALSE	FALSE	2027-03-13	2027-03-14	2	7	4		0	pending	0				1	2027-03-13
28090137	FALSE	TRUE	FALSE	FALSE	2027-03-14	2027-03-16	1	10	6		0	pending	0				1	2027-03-13
28106784	FALSE	FALSE	TRUE	FALSE	2027-02-26	2027-03-01	1	15	15		0	pending	0				1	2027-02-27
28107425	FALSE	FALSE	TRUE	FALSE	2027-02-12	2027-02-13	1	15	15		0	pending	0				1	2027-02-13
28107495	FALSE	FALSE	TRUE	FALSE	2027-04-24	2027-04-26	9	15	15		0	pending	0				1	2027-04-24
28120707	FALSE	TRUE	FALSE	FALSE	2027-03-19	2027-03-21	3	7	4		0	pending	0				1	2027-03-20
28664534	FALSE	TRUE	FALSE	FALSE	2027-03-09	2027-03-11	1	15	15		0	pending	0				1	2027-03-13
29023353	TRUE	TRUE	TRUE	TRUE	2027-02-13	2027-02-15	1	8	4		0	pending	0				4	2027-02-13
29023353	FALSE	TRUE	FALSE	FALSE	2027-04-09	2027-04-11	5	9	9		0	pending	0				1	2027-04-10
29047823	FALSE	FALSE	TRUE	FALSE	2026-12-29	2026-12-31	1	15	15		0	pending	0				1	2027-01-02
29098784	FALSE	TRUE	FALSE	FALSE	2027-01-17	2027-01-19	2	4	4		0	pending	0				1	2027-01-16
29099095	TRUE	FALSE	FALSE	FALSE	2027-02-07	2027-02-09	1	4	4		0	pending	0				1	2027-02-06
29144226	FALSE	TRUE	FALSE	FALSE	2027-02-27	2027-02-28	1	4	4		0	pending	0				1	2027-02-27
29176534	TRUE	FALSE	FALSE	FALSE	2027-03-20	2027-03-21	4	7	4		0	pending	0				1	2027-03-20
29618303	TRUE	FALSE	FALSE	FALSE	2027-01-22	2027-01-24	2	8	8		0	pending	0				1	2027-01-23
30097345	FALSE	FALSE	TRUE	FALSE	2027-01-22	2027-01-24	3	15	15		0	pending	0				1	2027-01-23
30109983	FALSE	FALSE	TRUE	FALSE	2027-02-05	2027-02-07	1	15	15		0	pending	0				1	2027-02-06
30111101	TRUE	FALSE	FALSE	FALSE	2027-02-26	2027-02-28	1	5	5		0	pending	0				1	2027-02-27
30111101	FALSE	TRUE	FALSE	FALSE	2027-02-28	2027-03-01	1	5	5		0	pending	0				1	2027-02-27
30111585	FALSE	FALSE	TRUE	FALSE	2027-03-20	2027-03-21	2	4	4		0	pending	0				1	2027-03-20
30118313	TRUE	FALSE	FALSE	FALSE	2027-02-26	2027-02-28	1	7	7		0	pending	0				1	2027-02-27
30129177	FALSE	FALSE	TRUE	FALSE	2027-04-16	2027-04-18	1	15	11		0	pending	0				1	2027-04-17
31583107	FALSE	TRUE	FALSE	FALSE	2027-03-07	2027-03-09	1	5	5		0	pending	0				1	2027-03-06
31698303	TRUE	FALSE	FALSE	FALSE	2027-02-04	2027-02-06	1	12	12		0	pending	0				1	2027-02-06
31698303	FALSE	TRUE	FALSE	FALSE	2027-02-06	2027-02-07	1	15	15		0	pending	0				1	2027-02-06
32095336	TRUE	FALSE	FALSE	FALSE	2027-03-13	2027-03-14	1	4	4		0	pending	0				1	2027-03-13
